field,band,reference_energy_fraction_mean,reference_energy_fraction_ensemble_sd,reconstruction_energy_fraction_mean,reconstruction_energy_fraction_ensemble_sd
CH4,low,0.92429936,0.001037234,0.92786765,0.010040897
CH4,mid,0.049529057,0.0024892613,0.04784943,0.004869236
CH4,high,0.02617162,0.0014521091,0.02428295,0.005171666
CO,low,0.8605238,0.013407798,0.8678402,0.014390873
CO,mid,0.08965482,0.0018714834,0.08592112,0.00518932
CO,high,0.049821325,0.011536306,0.046238713,0.0092016235
T,low,0.89851034,0.0011472373,0.9171383,0.0073772157
T,mid,0.066554226,0.0021063625,0.0574937,0.0032085106
T,high,0.034935426,0.00095914636,0.02536807,0.004168674
U_1,low,0.4278891,0.014915707,0.49731812,0.009277238
U_1,mid,0.32967728,0.006604896,0.30362415,0.011832285
U_1,high,0.24243358,0.008310811,0.19905776,0.021109512
p,low,0.8053664,0.0056504593,0.81731266,0.013368728
p,mid,0.14622384,0.007275747,0.13265786,0.0064771487
p,high,0.04840977,0.0016252932,0.050029464,0.006891597
