field,band,reference_energy_fraction_mean,reference_energy_fraction_ensemble_sd,reconstruction_energy_fraction_mean,reconstruction_energy_fraction_ensemble_sd
CH4,low,0.92429936,0.001037234,0.9244,0.008819186
CH4,mid,0.049529057,0.0024892613,0.049459778,0.0045517334
CH4,high,0.02617162,0.0014521091,0.026140278,0.0042674765
CO,low,0.8605238,0.013407798,0.86188763,0.015623583
CO,mid,0.08965482,0.0018714834,0.08845186,0.006677499
CO,high,0.049821325,0.011536306,0.049660508,0.008946074
T,low,0.89851034,0.0011472373,0.9061712,0.007364361
T,mid,0.066554226,0.0021063625,0.063424416,0.003675171
T,high,0.034935426,0.00095914636,0.030404394,0.0036891585
U_1,low,0.4278891,0.014915707,0.464661,0.0015802329
U_1,mid,0.32967728,0.006604896,0.3202216,0.017832521
U_1,high,0.24243358,0.008310811,0.21511737,0.019412806
p,low,0.8053664,0.0056504593,0.7978664,0.023996983
p,mid,0.14622384,0.007275747,0.14295462,0.014129214
p,high,0.04840977,0.0016252932,0.059179027,0.009867805
