component,sub_term,absolute_discrepancy_mean,absolute_discrepancy_std,coherence_score_mean,coherence_score_std
same_frequency,CO–T,0.013736434,0.0043101744,0.89904296,0.019339124
same_frequency,T–CH4,0.0025801873,0.0012260228,0.97263724,0.006955494
same_frequency,T–U_1,0.0091954125,0.00033236478,0.83862424,0.0012497805
same_frequency,CH4–U_1,0.010655789,0.003587373,0.8230836,0.033148833
same_frequency,component_total,0.009041955694556236,0.0021978013683110476,0.8833469748497009,0.01454841811209917
cross_frequency,CO–T,0.007868883,0.007916016,0.5528983,0.1643921
cross_frequency,T–CH4,0.0034746332,9.185412e-05,0.5255957,0.34325364
cross_frequency,T–U_1,0.016069675,0.016954677,0.3922894,0.25225708
cross_frequency,CH4–U_1,0.021491747,0.0004770773,0.2050339,0.037023563
cross_frequency,component_total,0.012226234190165997,0.00631397869437933,0.4189543128013611,0.1992315798997879
cross_spectrum,family_total,0.021268188953399658,0.0041161770932376385,0.6511507034301758,0.0923415943980217
