component,sub_term,absolute_discrepancy_mean,absolute_discrepancy_std,coherence_score_mean,coherence_score_std
same_frequency,CO–T,0.011403805,0.00076620537,0.90873986,0.004637165
same_frequency,T–CH4,0.00090250606,0.00049836,0.9840668,0.0046783844
same_frequency,T–U_1,0.0094699785,0.0026106276,0.84347296,0.018895064
same_frequency,CH4–U_1,0.009110429,0.00027608292,0.842802,0.0003541178
same_frequency,component_total,0.007721679750829935,0.00040553632425144315,0.8947703838348389,0.00230627553537488
cross_frequency,CO–T,0.009921375,0.010653215,0.60545826,0.20938006
cross_frequency,T–CH4,0.0053667384,0.0023526903,0.60662687,0.24294885
cross_frequency,T–U_1,0.015025339,0.0132054705,0.31752074,0.11374136
cross_frequency,CH4–U_1,0.021435408,0.004053937,0.15735161,0.052334417
cross_frequency,component_total,0.012937215156853199,0.00436301389709115,0.4217393696308136,0.1284339725971222
cross_spectrum,family_total,0.02065889537334442,0.0047685508616268635,0.658254861831665,0.0653700977563858
