pair,left_field,right_field,jensen_shannon_divergence_bits,x_range,y_range,density_range,figure
CH4–CO,CH4,CO,0.12773011691421515,"[-1.2688559627532958, 1.0889839267730712]","[-1.059108054637909, 4.986844217777252]","[0.0013063262981028645, 130.63262981028643]",joint_pdf_CH4-CO.png
CH4–T,CH4,T,0.17045390466584542,"[-1.2688559627532958, 1.0889839267730712]","[-1.1161043405532838, 1.563398814201355]","[0.0025388673528404554, 253.8867352840455]",joint_pdf_CH4-T.png
CH4–U_1,CH4,U_1,0.11805958930445455,"[-1.2688559627532958, 1.0889839267730712]","[-8.473569030761718, 10.81483184814453]","[0.00034356545658271087, 16.38120096986385]",joint_pdf_CH4-U_1.png
CH4–p,CH4,p,0.13129882443750807,"[-1.2688559627532958, 1.0889839267730712]","[-3.8030007219314577, 2.9545274114608766]","[0.0009806586260389003, 6.7233955401228105]",joint_pdf_CH4-p.png
CO–T,CO,T,0.04231779961875348,"[-1.059108054637909, 4.986844217777252]","[-1.1161043405532838, 1.563398814201355]","[0.000994444992947519, 99.44449929475189]",joint_pdf_CO-T.png
CO–U_1,CO,U_1,0.012816257455380512,"[-1.059108054637909, 4.986844217777252]","[-8.473569030761718, 10.81483184814453]","[0.00013398589695953037, 7.821694706806559]",joint_pdf_CO-U_1.png
CO–p,CO,p,0.026959958807435673,"[-1.059108054637909, 4.986844217777252]","[-3.8030007219314577, 2.9545274114608766]","[0.0003824436453182553, 2.7964279345671263]",joint_pdf_CO-p.png
T–U_1,T,U_1,0.02873335114975947,"[-1.1161043405532838, 1.563398814201355]","[-8.473569030761718, 10.81483184814453]","[0.000302321845285618, 13.01646704877235]",joint_pdf_T-U_1.png
T–p,T,p,0.04806102705458321,"[-1.1161043405532838, 1.563398814201355]","[-3.8030007219314577, 2.9545274114608766]","[0.0008629346162103614, 5.633237174621292]",joint_pdf_T-p.png
U_1–p,U_1,p,0.025236405793676597,"[-8.473569030761718, 10.81483184814453]","[-3.8030007219314577, 2.9545274114608766]","[0.00011987702044347886, 0.7299311774803489]",joint_pdf_U_1-p.png
