sample_id,component,sub_term,value
trajectory_000000:8000,marginal,CH4,0.0003900804731529206
trajectory_000000:8000,marginal,CO,0.00040425133192911744
trajectory_000000:8000,marginal,T,0.000217836131923832
trajectory_000000:8000,marginal,U_1,0.004132246132940054
trajectory_000000:8000,marginal,p,0.0015623513609170914
trajectory_000000:8000,pairwise,CH4–CO,0.00026304167113266885
trajectory_000000:8000,pairwise,CH4–T,0.0003855095710605383
trajectory_000000:8000,pairwise,CH4–U_1,0.0015718931099399924
trajectory_000000:8000,pairwise,CH4–p,0.0015211921418085694
trajectory_000000:8000,pairwise,CO–T,0.0002633341937325895
trajectory_000000:8000,pairwise,CO–U_1,0.001569609739817679
trajectory_000000:8000,pairwise,CO–p,0.0012061900924891233
trajectory_000000:8000,pairwise,T–U_1,0.0025086337700486183
trajectory_000000:8000,pairwise,T–p,0.0009206323302350938
trajectory_000000:8000,pairwise,U_1–p,0.0033131761010736227
trajectory_000000:8000,joint_top_tail,all_fields,0.0032671866938471794
trajectory_000000:8000,marginal,weighted_component_total,0.0013413531705737114
trajectory_000000:8000,pairwise,weighted_component_total,0.0013523213565349579
trajectory_000000:8000,joint_top_tail,weighted_component_total,0.0032671866938471794
trajectory_000000:8000,global_distribution,family_total,0.005960861220955849
trajectory_000000:8015,marginal,CH4,0.002181860152631998
trajectory_000000:8015,marginal,CO,0.0014393135206773877
trajectory_000000:8015,marginal,T,0.0013760383008047938
trajectory_000000:8015,marginal,U_1,0.1032509133219719
trajectory_000000:8015,marginal,p,0.34518733620643616
trajectory_000000:8015,pairwise,CH4–CO,0.001282932236790657
trajectory_000000:8015,pairwise,CH4–T,0.0018151002004742622
trajectory_000000:8015,pairwise,CH4–U_1,0.03745549917221069
trajectory_000000:8015,pairwise,CH4–p,0.2542252242565155
trajectory_000000:8015,pairwise,CO–T,0.0014594269450753927
trajectory_000000:8015,pairwise,CO–U_1,0.020027780905365944
trajectory_000000:8015,pairwise,CO–p,0.18140068650245667
trajectory_000000:8015,pairwise,T–U_1,0.06342517584562302
trajectory_000000:8015,pairwise,T–p,0.1264478713274002
trajectory_000000:8015,pairwise,U_1–p,0.17506341636180878
trajectory_000000:8015,joint_top_tail,all_fields,0.30256426334381104
trajectory_000000:8015,marginal,weighted_component_total,0.090687096118927
