sample_id,metric_kind,metric,direction,dimension,reference_quantile,reference_betti,reconstruction_betti,absolute_count_error,value
trajectory_000000:8000,self,self.CO,sublevel,h0,0.1,3,14,11,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.25,3,14,11,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.5,1,10,9,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.75,2,2,0,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.9,2,1,1,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.1,105,2,103,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.25,105,2,103,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.5,0,3,3,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.75,2,2,0,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.9,5,6,1,
trajectory_000000:8000,self,self.T,sublevel,h0,0.1,2,7,5,
trajectory_000000:8000,self,self.T,sublevel,h0,0.25,2,8,6,
trajectory_000000:8000,self,self.T,sublevel,h0,0.5,1,2,1,
trajectory_000000:8000,self,self.T,sublevel,h0,0.75,2,1,1,
trajectory_000000:8000,self,self.T,sublevel,h0,0.9,1,1,0,
trajectory_000000:8000,self,self.T,sublevel,h1,0.1,0,0,0,
trajectory_000000:8000,self,self.T,sublevel,h1,0.25,0,1,1,
trajectory_000000:8000,self,self.T,sublevel,h1,0.5,0,0,0,
trajectory_000000:8000,self,self.T,sublevel,h1,0.75,2,3,1,
trajectory_000000:8000,self,self.T,sublevel,h1,0.9,0,2,2,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.1,2,7,5,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.25,2,8,6,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.5,1,2,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.75,7,5,2,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.9,1,1,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.1,0,0,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.25,0,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.5,0,0,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.75,3,3,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.9,9,7,2,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.1,1,14,13,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.25,1,14,13,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.5,1,10,9,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.75,9,5,4,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.9,1,1,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.1,1,2,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.25,1,2,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.5,0,3,3,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.75,3,3,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.9,9,8,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.1,2,7,5,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.25,2,8,6,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.5,1,2,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.75,3,2,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.9,2,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.1,0,0,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.25,0,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.5,0,0,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.75,3,2,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.9,5,6,1,
trajectory_000000:8000,self,self.CO,superlevel,h0,0.1,6,7,1,
trajectory_000000:8000,self,self.CO,superlevel,h0,0.25,4,3,1,
trajectory_000000:8000,self,self.CO,superlevel,h0,0.5,1,11,10,
trajectory_000000:8000,self,self.CO,superlevel,h0,0.75,1,8,7,
trajectory_000000:8000,self,self.CO,superlevel,h0,0.9,1,8,7,
trajectory_000000:8000,self,self.CO,superlevel,h1,0.1,0,0,0,
trajectory_000000:8000,self,self.CO,superlevel,h1,0.25,1,0,1,
trajectory_000000:8000,self,self.CO,superlevel,h1,0.5,0,1,1,
trajectory_000000:8000,self,self.CO,superlevel,h1,0.75,122,6,116,
trajectory_000000:8000,self,self.CO,superlevel,h1,0.9,122,6,116,
trajectory_000000:8000,self,self.T,superlevel,h0,0.1,1,3,2,
trajectory_000000:8000,self,self.T,superlevel,h0,0.25,3,4,1,
trajectory_000000:8000,self,self.T,superlevel,h0,0.5,2,3,1,
trajectory_000000:8000,self,self.T,superlevel,h0,0.75,1,4,3,
trajectory_000000:8000,self,self.T,superlevel,h0,0.9,1,1,0,
trajectory_000000:8000,self,self.T,superlevel,h1,0.1,0,0,0,
trajectory_000000:8000,self,self.T,superlevel,h1,0.25,0,0,0,
trajectory_000000:8000,self,self.T,superlevel,h1,0.5,0,1,1,
trajectory_000000:8000,self,self.T,superlevel,h1,0.75,0,4,4,
trajectory_000000:8000,self,self.T,superlevel,h1,0.9,1,5,4,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.1,2,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.25,3,3,0,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.5,2,3,1,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.75,1,4,3,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.9,1,1,0,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h1,0.1,0,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h1,0.25,0,0,0,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h1,0.5,0,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h1,0.75,0,4,4,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h1,0.9,1,5,4,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.1,4,9,5,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.25,4,4,0,
trajectory_000000:8000,mutual,mutual.CO+T,superlevel,h0,0.5,2,3,1,
