sample_id,metric_kind,metric,direction,dimension,reference_quantile,reference_betti,reconstruction_betti,absolute_count_error,value
trajectory_000000:8000,self,self.CO,sublevel,h0,0.1,1,8,7,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.25,1,8,7,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.5,1,14,13,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.75,3,2,1,
trajectory_000000:8000,self,self.CO,sublevel,h0,0.9,3,3,0,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.1,0,1,1,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.25,0,1,1,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.5,0,2,2,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.75,1,1,0,
trajectory_000000:8000,self,self.CO,sublevel,h1,0.9,4,6,2,
trajectory_000000:8000,self,self.T,sublevel,h0,0.1,2,3,1,
trajectory_000000:8000,self,self.T,sublevel,h0,0.25,2,6,4,
trajectory_000000:8000,self,self.T,sublevel,h0,0.5,1,6,5,
trajectory_000000:8000,self,self.T,sublevel,h0,0.75,2,2,0,
trajectory_000000:8000,self,self.T,sublevel,h0,0.9,1,3,2,
trajectory_000000:8000,self,self.T,sublevel,h1,0.1,0,0,0,
trajectory_000000:8000,self,self.T,sublevel,h1,0.25,0,0,0,
trajectory_000000:8000,self,self.T,sublevel,h1,0.5,1,3,2,
trajectory_000000:8000,self,self.T,sublevel,h1,0.75,2,1,1,
trajectory_000000:8000,self,self.T,sublevel,h1,0.9,0,4,4,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.1,2,3,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.25,2,6,4,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.5,1,6,5,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.75,10,6,4,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.9,2,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.1,0,0,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.25,0,0,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.5,1,3,2,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.75,3,6,3,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.9,10,8,2,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.1,1,8,7,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.25,1,8,7,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.5,1,14,13,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.75,11,6,5,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h0,0.9,2,2,0,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.1,0,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.25,0,1,1,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.5,0,2,2,
trajectory_000000:8000,mutual,mutual.CO+T,sublevel,h1,0.75,4,5,1,
